Summary,Issue Type,Priority,Epic Name,Epic Link,Component/s,Labels,Assignee,Original Estimate,Description
공통 인프라,Epic,,공통 인프라,,,,"담당자A",,프로젝트 초기 설정 / DB 설계 / 공통 모듈 / 공통 FE 컴포넌트
인증/사용자,Epic,,인증/사용자,,,,"담당자B",,소셜 로그인 / JWT 인증 / 사용자 관리 / 팔로우 / 프로필 / 온보딩 (BE+FE 풀스택)
AI 가상시착,Epic,,AI 가상시착,,,,"담당자C",,베이스 이미지 / 크레딧 시스템 / AI 시착 생성 / SSE / 시착 화면 (BE+FE 풀스택)
개인 옷장,Epic,,개인 옷장,,,,"담당자D",,아이템 CRUD / 비즈니스 로직 / Vision 검색 / 옷장 화면 (BE+FE 풀스택)
커뮤니티 피드,Epic,,커뮤니티 피드,,,,"담당자E",,게시물 / 좋아요 / 댓글 / 신고 / 피드 화면 (BE+FE 풀스택)
관리자,Epic,,관리자,,,,"담당자A",,콘텐츠 모더레이션 / 유저 관리 / 크레딧 보상 (Admin API)
QA/통합,Epic,,QA/통합,,,,"전원",,통합 테스트 / E2E 테스트 / 전체 QA
[INFRA-001] Git 저장소 생성 및 브랜치 전략 수립,Task,Highest,,공통 인프라,프로젝트 초기 설정,Must,"전원",4h,팀 전체 협의
[INFRA-002] 백엔드 프로젝트 스켈레톤 생성,Task,Highest,,공통 인프라,프로젝트 초기 설정,Must,"담당자A",4h,Spring Boot 등 백엔드 프레임워크 기반 프로젝트 구조 생성
[INFRA-003] 모바일 클라이언트 프로젝트 스켈레톤 생성,Task,Highest,,공통 인프라,프로젝트 초기 설정,Must,"담당자A",4h,iOS/Android 프로젝트 구조 생성
[INFRA-004] CI/CD 파이프라인 기본 구성,Task,Highest,,공통 인프라,프로젝트 초기 설정,Must,"담당자A",8h,빌드/배포 자동화 파이프라인 구성
[INFRA-005] 전체 ERD 기반 DB 스키마 DDL 작성,Task,Highest,,공통 인프라,DB 설계,Must,"담당자A",8h,simul-erd.md 기준 전체 테이블 DDL 작성
[INFRA-006] DB 마이그레이션 도구 설정,Task,Highest,,공통 인프라,DB 설계,Must,"담당자A",4h,Flyway/Liquibase 마이그레이션 도구 설정
[INFRA-007] 개발/스테이징 DB 인스턴스 생성,Task,Highest,,공통 인프라,DB 설계,Must,"담당자A",4h,개발 및 스테이징 환경 DB 인스턴스 생성
[INFRA-008] 공통 에러 코드 체계 및 Exception Handler 구현,Task,Highest,,공통 인프라,공통 모듈,Must,"담당자A",8h,ERR-000 ~ 전체 에러 코드 정의 및 글로벌 예외 처리
[INFRA-009] 공통 에러 Response DTO 구현,Task,Highest,,공통 인프라,공통 모듈,Must,"담당자A",4h,error_code / message / detail 구조 DTO
[INFRA-010] 공통 페이지네이션 모듈 구현,Task,Highest,,공통 인프라,공통 모듈,Must,"담당자A",4h,page/per_page 공통 Request/Response 처리
[INFRA-011] 이미지 업로드 서비스 구현,Task,Highest,,공통 인프라,공통 모듈,Must,"담당자A",12h,S3/Cloud Storage + CDN 연동 이미지 업로드 서비스
[INFRA-012] 이미지 유효성 검증 유틸리티 구현,Task,Highest,,공통 인프라,공통 모듈,Must,"담당자A",8h,이미지 리사이징/포맷/용량/해상도 검증
