Summary,Issue Type,Priority,Epic Name,Epic Link,Component/s,Labels,Assignee,Original Estimate,Description
공통 인프라,Epic,,공통 인프라,,,,lwseok0516@gmail.com,,프로젝트 초기 설정 / DB 설계 / 공통 모듈 / 공통 FE 컴포넌트 (반응형 웹 / 모바일 최적화)
인증/사용자,Epic,,인증/사용자,,,,tr9273@naver.com,,소셜 로그인 / JWT 인증 / 사용자 관리 / 팔로우 / 프로필 / 온보딩 (BE+FE 풀스택)
AI 가상시착,Epic,,AI 가상시착,,,,a8853665@gmail.com,,베이스 이미지 / 크레딧 시스템 / AI 시착 생성 / SSE / 시착 화면 (BE+FE 풀스택)
개인 옷장,Epic,,개인 옷장,,,,kikilee.ato@gmail.com,,아이템 CRUD / 컬렉션(폴더) 관리 / 비즈니스 로직 / 옷장 화면 (BE+FE 풀스택)
커뮤니티 피드,Epic,,커뮤니티 피드,,,,jcwo214@naver.com,,게시물(다중 이미지) / 좋아요 / 댓글 / 신고 / 피드 화면 (BE+FE 풀스택)
태그/검색,Epic,,태그/검색,,,,jcwo214@naver.com,,Google Vision API 태그 자동추출 / 태그 검색 자동완성 / 통합 검색 (BE+FE 풀스택)
알림,Epic,,알림,,,,tr9273@naver.com,,시착 완료 / 좋아요·댓글 / 팔로우 게시 알림 (BE+FE 풀스택)
관리자,Epic,,관리자,,,,lwseok0516@gmail.com,,콘텐츠 모더레이션 / 유저 관리 / 크레딧 보상 (Admin API)
QA/통합,Epic,,QA/통합,,,,,,통합 테스트 / E2E 테스트 / 전체 QA
[INFRA-001] Git 저장소 생성 및 브랜치 전략 수립,Task,Highest,,공통 인프라,프로젝트 초기 설정,Must,,4,팀 전체 협의
[INFRA-002] 백엔드 프로젝트 스켈레톤 생성,Task,Highest,,공통 인프라,프로젝트 초기 설정,Must,lwseok0516@gmail.com,4,Spring Boot 등 백엔드 프레임워크 기반 프로젝트 구조 생성
[INFRA-003] 웹 프론트엔드 프로젝트 스켈레톤 생성,Task,Highest,,공통 인프라,프로젝트 초기 설정,Must,lwseok0516@gmail.com,4,React/Next.js/Vite 등 웹 프레임워크 기반 모바일 퍼스트 프로젝트 구조 생성
[INFRA-004] CI/CD 파이프라인 기본 구성,Task,Highest,,공통 인프라,프로젝트 초기 설정,Must,lwseok0516@gmail.com,8,빌드/배포 자동화 파이프라인 구성 (BE + FE 정적 호스팅)
[INFRA-005] 전체 ERD 기반 DB 스키마 DDL 작성,Task,Highest,,공통 인프라,DB 설계,Must,lwseok0516@gmail.com,8,simul-erd.md 기준 전체 테이블 DDL 작성
[INFRA-006] DB 마이그레이션 도구 설정,Task,Highest,,공통 인프라,DB 설계,Must,lwseok0516@gmail.com,4,Flyway/Liquibase 마이그레이션 도구 설정
